observer,Date,Measure,day_sample,Site,Site.Number,plot,density_level,Site.Density,transect number,distance on transect,animal.hit,RTM,observations,microsite,Time.block,actual.time,presence of flower
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,2,100,1,Butterfly,flying,shrub,PM,12:05,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,90,1,Butterfly,flying,shrub,PM,12:13,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,90,1,Butterfly,flying,shrub,PM,12:13,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,90,1,Butterfly,flying,shrub,PM,12:13,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,90,1,Butterfly,flying,shrub,PM,12:13,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,90,1,Butterfly,flying,shrub,PM,12:13,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,90,1,Butterfly,flying,shrub,PM,12:13,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,1,20,1,Beetle,flying,shrub,PM,13:17,no
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,2,60,1,Butterfly,flying,shrub,PM,13:21,no
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,2,90,1,Fly,flying,shrub,PM,13:20,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,2,100,1,Grasshopper,jumping,shrub,PM,13:20,yes
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,1,3,HD,2,50,1,Antelope squirrel,running,shrub,PM,12:30,no
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,1,3,HD,3,80,1,Grasshopper,standing,shrub,PM,12:37,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,4,1,3,HD,1,30,1,Grasshopper,standing,shrub,PM,13:29,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,5,3,HD,2,80,1,Grasshopper,jumping,shrub,AM,11:31,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,5,3,HD,1,100,1,Grasshopper,jumping,shrub,AM,11:37,yes
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,4,1,3,HD,3,30,1,Grasshopper,jumping,shrub,PM,12:24,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,4,1,3,HD,3,50,1,Grasshopper,jumping,shrub,PM,12:24,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,4,1,3,HD,3,90,1,Grasshopper,jumping,shrub,PM,12:23,no
"Mario, Nargol",11-Jun-19,transect,26,Carrizo,4,1,3,HD,3,70,1,Grasshopper,jumping,shrub,AM,11:39,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,7,1,LD,2,80,1,Butterfly,flying,shrub,AM,11:04,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,7,1,LD,2,80,1,Dragonfly,flying,shrub,AM,11:04,no
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,7,1,LD,2,80,1,Grasshopper,standing,shrub,PM,13:50,no
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,3,1,LD,1,10,1,Grasshopper,jumping,shrub,PM,13:00,no
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,3,1,LD,1,50,1,Grasshopper,standing,shrub,PM,13:01,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,7,1,LD,3,40,1,Grasshopper,jumping,shrub,PM,12:45,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,7,1,LD,3,50,1,Grasshopper,jumping,shrub,PM,12:45,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,7,1,LD,2,80,1,Grasshopper,Jumping,shrub,AM,11:16,no
"Mario, Nargol",06-Jun-19,transect,21,Carrizo,4,3,1,LD,2,10,1,Dragonfly,flying,shrub,AM,10:55,no
"Mario, Nargol",11-Jun-19,transect,26,Carrizo,4,3,1,LD,3,20,1,Grasshopper,jumping,shrub,PM,12:07,no
"Mario, Nargol",21-May-19,transect,5,Carrizo,4,2,2,MD,1,100,1,Grasshopper,Standing,shrub,AM,10:11,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,6,2,MD,2,0,1,Butterfly,standing,shrub,AM,9:17,yes
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,6,2,MD,2,80,1,Butterfly,standing,shrub,AM,9:15,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,6,2,MD,2,80,1,Butterfly,standing,shrub,AM,9:15,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,6,2,MD,2,80,1,Butterfly,standing,shrub,AM,9:15,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,2,30,1,Grasshopper,standing,shrub,AM,9:38,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,2,30,1,Grasshopper,standing,shrub,AM,9:38,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,6,2,MD,1,30,1,Whiptail Lizard,basking,shrub,AM,11:43,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,6,2,MD,2,60,1,Whiptail Lizard,basking,shrub,AM,11:50,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,6,2,MD,2,90,1,Butterfly,flying,shrub,AM,11:49,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,6,2,MD,2,90,1,Butterfly,flying,shrub,PM,14:17,yes
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,2,2,MD,2,10,1,Grasshopper,jumping,shrub,PM,12:23,no
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,2,2,MD,1,70,1,Fly,flying,shrub,PM,12:26,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,4,2,2,MD,3,60,1,Grasshopper,jumping,shrub,PM,13:45,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,6,2,MD,2,30,1,Grasshopper,standing,shrub,PM,12:19,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,6,2,MD,3,50,1,Grasshopper,jumping,shrub,AM,10:53,no
"Mario, Nargol",06-Jun-19,transect,21,Carrizo,4,2,2,MD,2,0,1,Grasshopper,standing,shrub,AM,11:17,no
"Mario, Nargol",07-Jun-19,transect,22,Carrizo,3,6,2,MD,1,80,1,Ooda,standing,shrub,AM,10:40,yes
"Mario, Nargol",07-Jun-19,transect,22,Carrizo,3,6,2,MD,1,80,1,Grasshopper,jumping,shrub,AM,10:40,yes
"Mario, Nargol",07-Jun-19,transect,22,Carrizo,3,6,2,MD,1,90,1,Ooda,standing,shrub,AM,10:40,yes
"Mario, Nargol",11-Jun-19,transect,26,Carrizo,4,2,2,MD,2,20,1,Grasshopper,jumping,shrub,PM,12:30,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,8,0,ND,2,8,1,Grasshopper,standing,shrub,AM,11:28,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,8,0,ND,2,100,1,Butterfly,flying,shrub,AM,11:27,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,8,0,ND,2,100,1,Butterfly,flying,shrub,AM,11:27,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,8,0,ND,2,100,1,Butterfly,flying,shrub,AM,11:27,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,8,0,ND,3,30,1,Grasshopper,standing,shrub,AM,11:32,no
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,8,0,ND,3,30,1,Butterfly,flying,shrub,PM,14:37,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,8,0,ND,2,10,1,Grasshopper,jumping,shrub,PM,12:33,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,5,3,HD,2,80,1,Butterfly,standing,shrub,AM,9:51,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,5,3,HD,3,20,1,Butterfly,flying,shrub,AM,9:56,yes
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,5,3,HD,3,50,1,Butterfly,standing,shrub,AM,9:56,yes
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,5,3,HD,3,100,1,Bird,standing,shrub,AM,9:58,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,5,3,HD,2,40,1,Butterfly,flying,shrub,AM,9:09,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,5,3,HD,2,40,1,Butterfly,flying,shrub,AM,9:09,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,1,20,1,Antelope squirrel,running,shrub,PM,12:02,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,2,70,1,Butterfly,flying,shrub,PM,12:07,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,100,1,Butterfly,flying,shrub,PM,12:14,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,100,1,Butterfly,flying,shrub,PM,12:14,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,100,1,Butterfly,flying,shrub,PM,12:14,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,100,1,Whiptail Lizard,basking,shrub,PM,12:14,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,90,1,Butterfly,standing,shrub,PM,13:26,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,90,1,Butterfly,standing,shrub,PM,13:26,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,90,1,Butterfly,standing,shrub,PM,13:26,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,90,1,Butterfly,standing,shrub,PM,13:26,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,90,1,Butterfly,standing,shrub,PM,13:26,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,90,1,Butterfly,standing,shrub,PM,13:26,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,90,1,Butterfly,standing,shrub,PM,13:26,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,90,1,Butterfly,standing,shrub,PM,13:26,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,90,1,Butterfly,standing,shrub,PM,13:26,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,90,1,Butterfly,standing,shrub,PM,13:26,yes
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,1,3,HD,3,0,1,Grasshopper,jumping,shrub,PM,12:39,no
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,1,3,HD,3,100,1,Grasshopper,standing,shrub,PM,12:37,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,4,1,3,HD,1,50,1,Grasshopper,standing,shrub,PM,13:28,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,5,3,HD,2,30,1,Grasshopper,jumping,shrub,PM,13:04,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,5,3,HD,1,50,1,Grasshopper,jumping,shrub,PM,13:06,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,5,3,HD,3,80,1,Butterfly,flying,shrub,AM,11:28,yes
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,5,3,HD,1,80,1,Antelope squirrel,running,shrub,AM,11:35,yes
"Mario, Nargol",06-Jun-19,transect,21,Carrizo,4,1,3,HD,2,40,1,Grasshopper,jumping,shrub,AM,10:30,no
"Mario, Nargol",12-Jun-19,transect,27,Carrizo,3,5,3,HD,1,30,1,Grasshopper,jumping,shrub,AM,10:46,no
"Mario, Nargol",12-Jun-19,transect,27,Carrizo,3,5,3,HD,3,10,1,Grasshopper,jumping,shrub,AM,10:49,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,3,1,LD,2,30,1,Grasshopper,standing,shrub,AM,10:16,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,3,1,LD,2,50,1,Butterfly,flying,shrub,AM,10:15,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,3,1,LD,1,40,1,Butterfly,flying,shrub,AM,10:20,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,3,1,LD,1,40,1,Butterfly,flying,shrub,AM,10:20,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,7,1,LD,3,10,1,Grasshopper,standing,shrub,AM,11:08,no
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,3,1,LD,2,80,1,Fly,flying,shrub,PM,13:04,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,4,3,1,LD,3,30,1,Grasshopper,jumping,shrub,PM,14:02,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,4,3,1,LD,2,50,1,Grasshopper,jumping,shrub,PM,14:05,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,7,1,LD,3,60,1,Grasshopper,standing,shrub,PM,12:46,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,7,1,LD,2,90,1,Grasshopper,Jumping,shrub,AM,11:16,no
"Mario, Nargol",06-Jun-19,transect,21,Carrizo,4,3,1,LD,1,30,1,Grasshopper,jumping,shrub,AM,10:59,no
"Mario, Nargol",11-Jun-19,transect,26,Carrizo,4,3,1,LD,1,10,1,Grasshopper,jumping,shrub,AM,11:59,no
"Mario, Nargol",11-Jun-19,transect,26,Carrizo,4,3,1,LD,1,10,1,Grasshopper,jumping,shrub,AM,11:59,no
"Mario, Nargol",11-Jun-19,transect,26,Carrizo,4,3,1,LD,1,40,1,Grasshopper,jumping,shrub,PM,12:00,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,6,2,MD,1,60,1,Butterfly,standing,shrub,AM,9:13,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,6,2,MD,1,80,1,Butterfly,standing,shrub,AM,9:14,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,6,2,MD,3,70,1,Butterfly,flying,shrub,AM,9:17,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,1,50,1,Butterfly,flying,shrub,AM,9:33,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,2,0,1,Butterfly,flying,shrub,AM,9:38,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,6,2,MD,1,50,1,Grasshopper,standing,shrub,AM,11:45,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,6,2,MD,2,30,1,Butterfly,flying,shrub,AM,11:51,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,6,2,MD,3,60,1,Butterfly,flying,shrub,AM,11:52,no
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,6,2,MD,3,70,1,Butterfly,flying,shrub,PM,14:22,no
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,2,2,MD,3,50,1,Fly,flying,shrub,PM,12:18,no
"Mario, Nargol",29-May-19,transect,13,Carrizo,4,2,2,MD,2,90,1,Grasshopper,standing,shrub,PM,12:21,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,6,2,MD,2,90,1,Grasshopper,standing,shrub,PM,12:17,yes
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,6,2,MD,2,20,1,Grasshopper,jumping,shrub,AM,10:51,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,4,2,2,MD,1,70,1,Grasshopper,jumping,shrub,PM,12:21,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,4,2,2,MD,1,70,1,Grasshopper,jumping,shrub,PM,12:21,no
"Mario, Nargol",07-Jun-19,transect,22,Carrizo,3,6,2,MD,2,100,1,Tarantula Wasp,flying,shrub,AM,10:34,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,8,0,ND,3,100,1,Butterfly,flying,shrub,AM,11:34,no
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,8,0,ND,1,60,1,Butterfly,flying,shrub,PM,14:30,no
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,8,0,ND,3,70,1,Butterfly,flying,shrub,PM,14:39,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,8,0,ND,2,30,1,Grasshopper,jumping,shrub,PM,12:32,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,5,3,HD,1,20,1,Butterfly,standing,shrub,AM,9:52,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,5,3,HD,2,30,1,Butterfly,standing,shrub,AM,9:53,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,5,3,HD,2,30,1,Butterfly,standing,shrub,AM,9:53,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,5,3,HD,2,30,1,Butterfly,standing,shrub,AM,9:53,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,5,3,HD,2,40,1,Butterfly,standing,shrub,AM,9:52,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,5,3,HD,2,40,1,Butterfly,standing,shrub,AM,9:52,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,5,3,HD,1,100,1,Bird,flying,shrub,AM,9:02,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,2,40,1,Butterfly,flying,shrub,PM,12:08,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,2,40,1,Butterfly,flying,shrub,PM,12:08,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,10,1,Butterfly,flying,shrub,PM,12:11,no
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,2,10,1,Butterfly,standing,shrub,PM,13:22,no
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,2,80,1,Butterfly,flying,shrub,PM,13:20,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,0,1,Grasshopper,jumping,shrub,PM,13:24,yes
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,5,3,HD,3,0,1,Butterfly,flying,shrub,PM,13:24,yes
"Mario, Nargol",31-May-19,transect,15,Carrizo,4,1,3,HD,1,90,1,Grasshopper,jumping,shrub,PM,13:27,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,4,1,3,HD,1,30,1,Grasshopper,jumping,shrub,PM,12:27,no
"Mario, Nargol",07-Jun-19,transect,22,Carrizo,3,5,3,HD,1,10,1,Grasshopper,jumping,shrub,AM,11:54,no
"Mario, Nargol",11-Jun-19,transect,26,Carrizo,4,1,3,HD,1,100,1,Grasshopper,jumping,shrub,AM,11:41,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,3,1,LD,2,100,1,Bird,flying,shrub,AM,10:14,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,3,1,LD,2,100,1,Bird,flying,shrub,AM,10:14,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,7,1,LD,1,20,1,Butterfly,flying,shrub,AM,11:00,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,7,1,LD,1,30,1,Grasshopper,standing,shrub,AM,11:00,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,7,1,LD,1,50,1,Butterfly,flying,shrub,AM,11:01,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,7,1,LD,2,0,1,Antelope squirrel,running,shrub,AM,11:06,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,4,3,1,LD,1,70,1,Antelope squirrel,standing,shrub,PM,14:08,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,7,1,LD,3,70,1,Grasshopper,jumping,shrub,AM,11:21,no
"Mario, Nargol",06-Jun-19,transect,21,Carrizo,4,3,1,LD,3,10,1,Grasshopper,jumping,shrub,AM,10:55,no
"Mario, Nargol",06-Jun-19,transect,21,Carrizo,4,3,1,LD,3,50,1,Grasshopper,jumping,shrub,AM,10:54,no
"Mario, Nargol",07-Jun-19,transect,22,Carrizo,3,7,1,LD,1,20,1,Grasshopper,jumping,shrub,AM,11:19,no
"Mario, Nargol",21-May-19,transect,5,Carrizo,4,2,2,MD,2,80,1,Butterfly,Standing,shrub,AM,10:10,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,1,20,1,Butterfly,flying,shrub,AM,9:32,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,1,30,1,Butterfly,flying,shrub,AM,,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,1,80,1,Butterfly,flying,shrub,AM,9:34,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,1,80,1,Butterfly,flying,shrub,AM,9:35,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,2,60,1,Grasshopper,standing,shrub,AM,9:37,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,6,2,MD,2,80,1,Butterfly,flying,shrub,AM,11:50,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,6,2,MD,3,20,1,Bird,flying,shrub,AM,11:51,no
"Mario, Nargol",28-May-19,transect,12,Carrizo,3,6,2,MD,1,80,1,Butterfly,flying,shrub,PM,14:15,yes
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,6,2,MD,3,50,1,Butterfly,standing,shrub,PM,12:13,yes
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,6,2,MD,3,70,1,Leopard Lizard,basking,shrub,PM,12:14,yes
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,6,2,MD,2,60,1,Grasshopper,standing,shrub,PM,12:18,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,6,2,MD,1,100,1,Grasshopper,standing,shrub,PM,12:24,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,6,2,MD,1,80,1,Grasshopper,jumping,shrub,AM,10:47,yes
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,6,2,MD,3,60,1,Grasshopper,jumping,shrub,AM,10:54,yes
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,4,2,2,MD,2,80,1,Grasshopper,jumping,shrub,PM,12:16,no
"Mario, Nargol",07-Jun-19,transect,22,Carrizo,3,6,2,MD,3,20,1,Grasshopper,jumping,shrub,AM,10:31,no
"Mario, Nargol",11-Jun-19,transect,26,Carrizo,4,2,2,MD,2,70,1,Tarantula Wasp,flying,shrub,PM,12:28,no
"Mario, Nargol",12-Jun-19,transect,27,Carrizo,3,6,2,MD,1,80,1,Grasshopper,jumping,shrub,AM,11:20,yes
"Mario, Nargol",12-Jun-19,transect,27,Carrizo,3,6,2,MD,3,70,1,Grasshopper,jumping,shrub,AM,11:27,yes
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,8,0,ND,1,40,1,Butterfly,standing,shrub,AM,8:37,no
"Mario, Nargol",23-May-19,transect,7,Carrizo,3,8,0,ND,1,60,1,Butterfly,standing,shrub,AM,8:38,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,8,0,ND,2,5,1,Butterfly,flying,shrub,AM,11:29,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,8,0,ND,2,5,1,Butterfly,flying,shrub,AM,11:29,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,8,0,ND,2,5,1,Butterfly,flying,shrub,AM,11:29,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,5,3,HD,1,30,1,Butterfly,flying,shrub,AM,9:01,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,40,1,Butterfly,flying,shrub,PM,12:12,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,5,3,HD,3,50,1,Grasshopper,standing,shrub,PM,12:12,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,4,3,1,LD,3,20,1,Grasshopper,jumping,shrub,PM,14:02,no
"Mario, Nargol",31-May-19,transect,15,Carrizo,3,7,1,LD,1,70,1,Grasshopper,jumping,shrub,PM,12:53,no
"Mario, Nargol",04-Jun-19,transect,19,Carrizo,3,7,1,LD,2,70,1,Grasshopper,Jumping,shrub,AM,11:17,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,4,2,2,MD,2,80,1,Fly,flying,shrub,AM,9:36,no
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,6,2,MD,1,80,1,Grasshopper,standing,shrub,AM,11:45,yes
"Mario, Nargol",25-May-19,transect,9,Carrizo,3,6,2,MD,2,50,1,Butterfly,flying,shrub,AM,11:51,no
